id,date,description,min_qual,pref_qual,functions,responsibilities
24,5/13/2014,"Boston College Libraries seeks TWO creative, knowledgeable, and intellectually curious Digital Scholarship Librarians (Arts & Humanities, and Sciences & Social Sciences) to advance digital scholarship initiatives at Boston College by providing  consultation, technical support, and project management for faculty, librarians, staff, and students engaged in technology-rich scholarly projects, Under the direction of the Associate University Librarian for Digital Initiatives & Public Programs, and in conjunction with subject and instruction liaisons, systems and digital library staff, scholarly communications and repository librarians, and others, s/he works directly with clients (faculty, students, staff) in identifying and deploying appropriate tools and technologies to meet research or publication needs. In addition to direct support at the project level, s/he will deliver training, group instruction, and workshops on Digital Scholarship topics with an emphasis on data visualization, text mining and encoding, mapping, and data analysis, and will maintain project documentation for a growing corpus of digital scholarly production. This role requires exceptional technology skills, creativity, and communication skills, and an understanding of discipline-specific and interdisciplinary research methodology. The ability to listen, articulate problems, and find effective technology solutions across a variety of disciplines, while working with a range of clients from novice scholars to senior faculty, is essential. ","MLS from an ALA accredited program with a strong technology component. Minimum 2 years related work in developing and supporting digital content in an academic environment required. Preferred: additional graduate degree in a) the arts or humanities, b) sciences or social sciences. Practical knowledge of and experience with a range of tools for the analysis and display of information, such as online exhibit tools, social media, scanning / OCR, data visualization, geospatial analysis, encoding and text mining, programming and scripting languages, format conversion and editing protocols and tools, graphic design, relational databases, metadata schema, and open web standards. Demonstrated ability to communicate effectively and persuasively across scholarly and technology domains; experience applying research methodologies to solve scholarly problems; exceptional project management skills. The successful candidates will each have a portfolio of technology-rich projects and will demonstrate enthusiasm for exploring new technologies and seeking opportunities to share their knowledge with others. S/he will bring an ability and mindset to develop new skills and integrate them as technologies evolve.",,,
25,5/16/2014,"The Digital Scholarship Specialist will establish and grow a dynamic, multi-faceted program that addresses the growing demand for digital arts and humanities support on campus. Working with arts and humanities scholars, faculty and students, the Digital Scholarship Specialist will foster successful adoption and application of the digital arts and humanities approaches to research, teaching, and learning.","Bachelor's degree in library science or a related field or equivalent experience in technology and operations management.  Experience working in an interdisciplinary humanities environment. Familiarity with research methodologies across a variety of arts and humanities disciplines; experience working with students and faculty members on digital scholarship projects; demonstrated technology proficiency and capabilities working with personal computers and software, the Web, and digital scholarship tools; ability to build and sustain effective interpersonal relationships and work collaboratively in a diverse and fast-paced environment; creative problem-solving skills and a strong commitment to service excellence; ability to take initiative, be self-directed, and demonstrate a commitment to innovation and creativity; demonstrated record of effective project management.",,,
26,9/3/2014,"The Claremont Colleges Library seeks a Digital Scholarship Librarian (DSL) dedicated to promoting the vital role of scholarly communication in the liberal arts context. We provide innovative, engaging, and responsive services to support digital scholarly communications. The library collects, builds, and connects the resources that the faculty and students need to advance teaching, learning, and research at the Claremont Colleges.",,,,"Scholarly Communication Platforms; Acts as the primary contact for Scholarship@Claremont, to ensure the rapid development and sustainability of this digital publishing platform; Trains and supervises staff and student workers on populating the institutional repository and creating metadata; Evaluates user needs in scholarly communications and Claremont Colleges Library publications; tests new tools, platforms, and software with a view to potential deployment; stays current on tools, trends, and methods to enhance resources and services; Provides support for digital publishing using bepress Digital Commons; Investigates the use of WordPress, Omeka, Open Journal Systems, Scalar, and other related software; Collaborates with other librarians to coordinate selection of digital content and services in relation to Open Educational Resources initiatives; Intellectual Property and Copyright; Supports faculty and students by providing guidance, advice, and resources on copyright issues and intellectual property rights management; Develops and maintains tools, resources, and educational programs to increase awareness of scholarly communication issues, such as publishing options, agency specific requirements, author rights, and copyright/fair use concerns, among faculty and students; Provides authors and scholars assistance with obtaining copyright permissions; Serves as a resource on licensing issues for faculty and students; Digital Humanities and New Modes of Scholarship; Supports scholars' use of standard digital scholarship tools and methods, such as text scanning, optical character recognition, text analysis, data visualization, and geographic information systems (GIS); Supports scholars' use of citation metrics and altmetrics; Creates deep connections between the library and the emerging intercollegiate Digital Humanities initiative; Develops connections with the emerging intercollegiate Center for Pedagogy and Educational Technology initiative to define and develop the Library's role in supporting digital scholarship as a key tool in teaching, learning and research; Represents the library's digital scholarship resources and services in other key intercollegiate initiatives, such as EnviroLab Asia; Documentation and Communication; Develops policies, procedures, and best practices for the institutional repository, Open Access fund, researcher IDs, and the electronic theses and dissertations deposit program; Communicates frequently and effectively with the Claremont Colleges' community about scholarly communication issues, especially regarding the importance of open access, research visibility, data curation, and digital preservation, through in-person meetings, presentations, publications, reports, web pages, and LibGuides; Communicates research, expertise, and lessons-learned by presenting and publishing information within the library, to the Claremont Colleges, and to the larger scholarly community; Participates in local, regional, national, and international professional associations by presenting, publishing, and attending conferences; Collaborates with subject and college liaison librarians in Claremont's Research, Teaching, and Learning Services division to build partnerships with campus constituents related to scholarly communication and open education materials; Coordinates digital scholarly communication engagement in library publications, exhibitions, programs and events; Outreach and Marketing; Participates in outreach and promotional events; maintains web presence for digital scholarship services; utilizes social media for communications, publicity, and marketing; Collaborates closely with librarians to incorporate and promote digital information literacy in instruction and reference services; Collaborates closely with librarians, faculty, staff, and students on assessment and on information resource acquisition and management activities in relation to scholarly communications"
27,9/11/2014,"The Dietrich College of Humanities and Social Sciences at Carnegie Mellon University, with pending grant funding from the A.W. Mellon Foundation in the Digital Humanities, is seeking applicants for a Research Staff position in the digital humanities. In particular, we are looking for applicants with skills and experience in one or more of the following areas: natural language processing, data mining of large textual corpora, machine learning approaches to analyzing large textual collections, social network analysis, geographical information systems, statistical analysis, especially in high dimensional spaces, and user interface design, especially visual analytics. Please note that this position is grant funded for 4 years with the possibility of further extension. The position will report to the Dean of the Dietrich College of Humanities and Social Sciences.","* Education: M.A. or Ph.D. in a humanities field with demonstrated knowledge of computer science and statistics; or M.S. or Ph.D. in Computer Science, Information-Library Science, Statistics, or related fields with demonstrated knowledge of humanities. * Skills: Natural language processing, data mining of large textual corpora, machine learning approaches to analyzing large textual collections, social network analysis, geographical information systems, statistical analysis, especially in high dimensional spaces, and user interface design, especially visual analytics. * Physical Mobility: Normally sedentary with some mobility(i.e. able to travel to other campus locations; may require some bending and lifting) * Environmental Conditions: Normal office environment although some work may be performed in other settings. Generally work involves extended use of computer monitor. * Mental: Ability to meet inflexible deadlines, remain calm during difficult situations, work under pressure and work with frequent interruptions. * Other: Weekend and evening work may be required",,,"The Digital Humanities Specialist position will lay a foundation for supporting research by humanities Ph.D. students and faculty in digital humanities. The primary function will be: * Consult with Ph.D. and faculty in the humanities in applying automated text processing, statistical data analysis, and machine learning techniques to research questions in the humanities; * Educate Ph.D. students and faculty in acquiring analysis skills through the development and delivery of targeted workshops and/or courses. Activities will also include the evaluation and recommendation of existing tools and techniques, with the possibility of some development/extension and implementation of algorithms and models. Additional job functions include assisting Ph.D. students and faculty in trouble-shooting problems with tools and publishing papers."
28,9/16/2014,"Lead digital scholarship initiatives for the Smith College Libraries' Teaching, Learning and Research (TLR) department, working closely with colleagues engaged in the development of digital scholarship at Smith.  Promote the adoption of new models of scholarship at Smith by developing methodologies and tools of the digital humanities and social sciences for research, teaching and learning.  Provide instruction and consultation services for digital projects, and serve on project teams.  Facilitate the use of library content for digital scholarship creation by faculty and students. Serve as a resource for other TLR librarians who are engaged in digital scholarship; provides training and consultation.  Keep abreast of new developments in digital scholarship and scholarly communication in the humanities and social sciences, and promote awareness among colleagues.  As a member of the Teaching, Learning and Research department, conduct general reference, outreach, library instruction/information literacy, collection development and liaison activities.","Education/Experience: Master's degree from an ALA-accredited program. Advanced degree or background in a discipline of the humanities or social sciences preferred. At least 2 years of experience working with faculty or students on digital scholarship projects; teaching experience, especially on the undergraduate level; and experience with the provision of library reference and research assistance to patrons. Skills: Ability to select, implement and evaluate emerging tools of digital scholarship. Demonstrated familiarity with current issues of scholarly communication and the ability to convey these complex issues to a diverse audience. Demonstrated project management skills. A strong commitment to public service; knowledge of current issues and methods of library instruction/information literacy; excellent oral and written communication skills; demonstrated ability to work flexibly, independently and collaboratively with colleagues and library users in a rapidly changing service-oriented environment.",,,"Digital Scholarship and Scholarly Communication: Research digital scholarship technologies and methodologies and promote them to faculty and students; provide expert consultation and instruction on digital humanities/social sciences techniques and tools; participate on project teams as an active partner in the development of digital projects. Partner with the libraries' Digital Strategies & Services staff to provide consultation for faculty and students on the management and preservation of digital content through Smith's repositories. Work with subject liaisons to identify and vet library content to be incorporated into projects; help subject liaisons participate in digital scholarship by providing group training and one-on-one consultations for colleagues. Maintain a working knowledge of copyright issues related to digital scholarship, and be able to exercise knowledge of copyright appropriately. Collaborate and consult with other professionals across the Libraries, the College and the Five Colleges. Information Literacy: Collaborate closely with academic departments and individual faculty to teach students about the creation and dissemination of and access to information and knowledge resources. Applying learning and pedagogical theory, initiate, design, conduct, and assess course-related library instruction, orientations, workshops and other instructional activities; develop instructional materials. Collection Development and Subject Liaison: Collaborate with faculty to build collections in print, electronic and other formats that reflect current and developing curricular and research needs in assigned subject areas. Develop and maintain knowledge of existing and developing modes of scholarly communication and respond to the changing information needs of students and faculty. Evaluate and select materials; monitor expenditures. Reference/Outreach: Provide reference and research support to faculty and students. Provide expert guidance to print and electronic resources across multiple interfaces of licensed online databases and relevant internet resources. Develop subject content for Libraries' web site, including subject and course resource pages, bibliographies, and other web based tools and digital information services. Participate in library wide committees and professional activities. Engage in continuous professional self-development, and keep current with emerging library practices, methodologies, and technologies. Perform related duties as required."
29,10/21/2014,"The University of California, Irvine Libraries seeks a collaborative, creative, proactive, and user- oriented professional for the position E-Research and Digital Scholarship Services (ERDS) Librarian to develop the Libraries' role in the research and publication lifecycle of digital resources. Reporting to the Head of the Collection Development Department, the incumbent will serve as Head of the E-Research and Digital Scholarship Services Unit and will be a member of the Collection Development Department.",#NAME?,#NAME?,,"Services include but are not limited to: - Consultation for grant requirements related to data management, data sharing, and publication; - Consultation regarding UC's open access policy; - Assistance in data curation; - Assistance with linked data; - Educating faculty, researchers, and librarians about impact metrics - Providing digital preservation and migration services; - Providing and/or training researchers on metadata enhancement; The unit will be involved in project management, workflow development, and provision of ongoing digital services for the scholarly community of UC Irvine and the UCI Libraries. The ERDS Librarian will manage all aspects of the Unit, from strategic planning to daily operations, effectively coordinating staff and technology resources, and working with subject specialists, IT professionals, and public relations staff. The ERDS Librarian will supervise a metadata librarian and a programmer analyst, and there is a likelihood that the unit will expand. Serving as an advisor to library management, the ERDS Librarian will interact extensively with other campus units and library departments on issues related to digital research, outreach, and publishing. The ERDS Librarian will work with faculty, researchers, librarians, and archivists to promote and support digital publishing and open access, and will encourage experimentation and risk-taking in digital scholarship projects as part of professional growth and innovative services. The ERDS Librarian will act as a resource within the Libraries for digital services and projects, and will educate librarians and staff about available digital and data services. The ERDS Librarian will build awareness of and support for the management and preservation of digital publications and related materials including research data. The ERDS Librarian will monitor data-related developments on campus and within the UC system, including the California Digital Library, and will explore ways that the Libraries can best leverage digital collections, local resources such as the UCI repository, UCIspace, and staff expertise to support faculty, researchers, and students in their own research and scholarly activities. The ERDS Librarian will explore and develop new services in the areas of e-research and digital scholarship. In addition, the ERDS Librarian will look for grant opportunities to develop services and expertise in the areas of digital services, data, and e-research."
30,11/10/2014,,"* Bachelor's degree in a humanities discipline or information science field, and two years of experience working in a related field * demonstrated experience in instructional design and in providing workshops or other instruction * effective oral and written communication skills in a variety of modes * knowledge of or experience with one of more of the technologies used to support text mining, topic modeling, or, such as R and related analysis tools * the ability to work independently as well as collaboratively in a team environment * excellent organizational skills and a demonstrable ability to manage multiple priorities * familiarity with content management systems and website management * the ability to remain conversant with newly evolving technologies.","* Master's degree in a humanities field, information science, or related discipline * experience with technologies for distance and remote learning * experience in planning and implementing programs or services * experience working with metadata encoded in one or more of the following schemas: MARC, MODS, METS, TEI * familiarity with linked open data and semantic web technologies * knowledge of or experience with digital preservation strategies * experience in writing grant proposals.",,"The University of Illinois Library conducts a variety of activities in support of digital humanities scholarship, including creation, delivery, curation and preservation of a wide variety of types of digital assets and tools. In particular, its partnership in the HathiTrust Research Center (HTRC) with Indiana University - Bloomington and the University of Illinois's Graduate School of Library and Information Science requires a robust support infrastructure for facilitating researchers' access and use of textual corpora from the HathiTrust Digital Library. The University of Illinois Library aims to become an exemplar of research support for textual analysis and data visualization in the HathiTrust community. Reporting to the English and Digital Humanities Librarian, the Visiting HTRC Digital Humanities Specialist will assist with the development of training and outreach initiatives in support of libraries who wish to start their own HTRC research services as well as researchers working with the Hathi Trust Research Center. Responsibilities will include planning, implementation and continuous design and development of training materials and educational workshops (both face-to-face and remote) and outreach activities in support of the usage of HTRC tools and datasets. The successful candidate will focus on supporting the development of HTRC research services at HathiTrust member institutions, and will collaborate with public services and data services librarians at HathiTrust member institutions on developing support services for digital humanities research with HTRC corpus. The successful candidate will have an excellent understanding of instructional design, and will be able to develop effective and engaging resources for librarians to use with researchers. The specialist will work closely with the English and Digital Humanities Librarian at the University of Illinois Library to develop research data services for the humanities, with particular emphasis on the HTRC corpus and tools. The specialist will spend up to 20 percent of their time on the support of research work with the HTRC. Examples of currently supported digital humanities projects involving the HTRC corpus include a text mining project of eighteenth-century novels for changes in dialect; a text mining project to search HT volumes for n-grams related to technology ; a comparative literature textual analysis project; and topic modeling of twentieth-century texts for depictions of African-American women. In addition, the successful candidate will contribute to the work of the Scholarly Commons in helping to articulate the relationship between new technologies and humanities scholarship to the community of humanists; and in advising teaching faculty on the usage of digitized textual corpora and providing technical support for use of analytical tools. The scope and responsibilities will evolve in accordance with priorities established by the Library and HathiTrust community. As an Academic Professional employee, the Digital Humanities Research Specialist is encouraged to use ""investigation time"" to pursue areas of his or her interest, not directly in support of an immediate program need, in accordance with the University Library's policy on Investigation Time for Academic Professional Employees. Some investigations that originate in this manner may evolve into regular work assignments or production activities."
31,11/19/2014,"The Digital Scholarship Librarian (DSL) will provide vision and energy in promoting the discovery, use and interoperability of digital content and digital resources in support of new knowledge creation at the college. The DSL will provide overall management for a multidisciplinary range of digital content, which includes standard file formats (i.e. publication, image, video, and audio files), open access and OER content, new asset classes (i.e. APIs and GIS data), as well as open source and subscription-based digital scholarship tools and services. The DSL will partner with fellow librarians and the Instructional Designer to ensure effective discovery, interoperability, and persistence of digital content. Together they will guide development of digital scholarship initiatives and work internally within the college as well as externally with vendors to resolve complex issues relating to scholarly content systems. The successful candidate will bring a sense of inquisitiveness and strong problem-solving skills to the position, along with an aptitude for strategic thinking and scalable and sustainable planning, as well as a passion for and commitment to advancing digital scholarship in a flexible, media-rich, studio-based, hands-on art and design environment. REPORTS TO: Director of Libraries","MLS, or equivalent, from an ALA-accredited institution. Library work experience. Portfolio of digital scholarship projects. Understanding of issues involved in developing, licensing, maintaining and providing access to a multidisciplinary range of digital content. Experience with digital asset management and/or digital publishing systems and services. Knowledge of copyright best practices related to digital scholarship. Familiarity with cataloguing formats and/or metadata schemas. Working knowledge of XML. Experience in website development and maintenance; ability to use web editing software; demonstrated knowledge of HTML and CSS. Success in matching technical solutions to project needs. Ability to work effectively both collaboratively and independently in a diverse, art and design service oriented environment. Must have excellent written and oral communication skills for working effectively with students and faculty with a range of learning styles and digital proficiencies. Must have a high degree of creativity for developing innovative solutions, an affinity for public service, and good time management skills. Skilled in soliciting new ideas and feedback from user groups. Ability to quickly learn new tools and technologies. Ability to assess and learn from mistakes.","Work experience in an academic library, preferably involving reference experience. Mobile web development. Experience with an LMS, such as Moodle or OpenClass. Project management experience, preferably with grant management. Demonstrated ability to effectively supervise, train and motivate staff. Knowledge of the digital scholarship practices of at least one or more of the program areas currently in the CCA curriculum.",,"60% Digital Scholarship Management Leads and manages the development, implementation, and support of digital scholarship initiatives at the college, working across academic and administrative departments. Partners closely with the Systems Librarian to: streamline workflows and processes for digital scholarship projects. increase the capability and capacity for digitizing, preserving, and distributing content, in accordance with evolving best practices. supervise the integration of metadata across a variety of library systems, following standards and best practices for the description of digital objects. ensure that assessment plans are developed as part of any new digital scholarship initiative. provide front-line support for use of digital scholarship content by the community. Troubleshoots, documents and resolves systems' flaws. Partners with the Instructional Designer to cultivate, implement, manage, and assess digital scholarship initiatives in the classroom. Collates internal digital scholarship assets, including content in ARTstor/Shared Shelf, CCA's digital archive VAULT, and other college asset management systems, for maximum discoverability and usability. 10% Rights Management Advises and provides guidance on issues related to intellectual property, open access publishing, and fair use. 10% Professional Development & Outreach Identifies relevant best practices and standards in digital scholarship technologies, keeps currents with developments and applications in the field, and experiments with new technologies. Remains current with fair use and copyright interpretations and implementations in higher education. Strengthens library staff digital literacy skills by providing support and training in library technologies, encouraging experimentation with new technologies and fostering a culture of innovation and exploration. Actively works to engage and advertise the libraries' digital scholarship initiatives across both campuses and develops outreach programming. Creates digital publishing and copyright information resources and workshops for the college. 20% General Librarian Duties Provides reference and research support for both libraries, schedules in-person reference desk hours in both libraries roughly equally, enhances use of other modalities for reference services. Works with Instructional Librarian to supplement, support and teach information literacy skills to students, faculty and staff. Manages library technician staff member(s). Hires, trains and supervises work study students and interns as needed for projects. Develops and implements tools and programming to encourage library use. Participates in planning and policy development. Other duties as assigned."
32,1/20/2015,"English Literature & Digital Humanities Librarian The Hesburgh Libraries at the University of Notre Dame seek a knowledgeable and dynamic individual in the field of English Literature. We are looking for talented, flexible, enthusiastic applicants who have a passion for the teaching and research missions of the university and understand the Libraries' role in advancing those missions. The successful candidate will be highly knowledgeable, innovative, result-oriented and strategically focused. S/he will possess excellent communications, interpersonal, and team skills. Working both independently and collegially, s/he will help lead the Libraries in creating superb specialized services for today's students and faculty and those of tomorrow. ","An advanced degree in English Literature or related field or a graduate degree in library science from an ALA-accredited school with a strong academic background in English Literature is required. Prior successful application of text-mining, data-visualization or other digital techniques related to the study of English Literature is required. Experience in collection development as well as teaching and research are highly desirable. Strong oral and written communication skills, organizational skills, proficiency with electronic resources, and proven ability to work well with colleagues are required. ",,,"Serves as the primary liaison to faculty, students and researchers in the Department of English. S/he works closely with these scholars and others concerned with the study of English Literature to insure the Libraries have the resources and services needed for successful research and learning. In consultation with the relevant teaching faculty, this position is responsible for the development, maintenance, and administration of English literature resources in all formats, including, print, microfilm and electronic, as well as expanding user access to scholarly resources beyond our collections. Also provides customized, course-integrated instruction and in-depth subject-related research consultation as appropriate. The successful candidate will also apply prior experience in text-mining, data-visualization or other digital applications relevant to the study of topics in English literature, and is expected to advise other staff and librarians to meet such demands in other Humanities disciplines. Position reports .5 FTE to the Head, Digital Production and Outreach within the Center for Digital Scholarship and .5 FTE to the Director, Arts & Humanities Research Services. "
33,1/27/2015,"The College of Wooster Libraries seeks an innovative and service-oriented colleague to become our Digital Scholarship Librarian. This newly created faculty position reports to the Director of Libraries and provides leadership in creating, organizing, promoting, and curating digital materials. The librarian will play a key role in supporting our Open Access resolution, our institutional repository (Open Works), digital projects developed under our current grant, institutional research data, born digital scholarship, and digitized content. The Digital Scholarship Librarian will serve as a liaison to one or more academic departments and participate in the Libraries research and instruction programs. The successful candidate will work collaboratively with a library staff focused on user needs and committed to developing an evolving library program that best supports the mission of the College.","MLS degree from an ALA-accredited program or equivalent Strong project management, analytical, and organizational skills Demonstrated initiative, flexibility, and creativity Excellent interpersonal, presentation, and communication skills Familiarity with best practices in digital preservation Facility learning, using, and applying appropriate technologies in a library context Knowledge of and interest in effective practices in data transfer, infrastructure, and interoperability","Progressively responsible experience working in an academic library Supervisory experience Demonstrated understanding of relevant scholarly communication issues (e.g., intellectual property rights and Fair Use) Experience with XML, web programming, graphic design, and scripting, or a demonstrated ability to learn these skills Familiarity with the curation of various formats of digital scholarship (e.g., data sets, media, images)",,"Additional Responsibilities

    Manage, with the Emerging Technologies Librarian, our digital resource platforms (currently CONTENTdm and Digital Commons)
    Plan, manage, and coordinate projects, working closely with staff from across the libraries and members of the college community
    Oversee a digitization center, including the training and supervision of student assistants
    Partner with other units within and beyond the Libraries on digital initiatives, particularly on metadata protocols and standards such as Dublin Core, EAD, MODS, and/or METS and linked open data
    Develop and implement a long-term digital preservation program for digital scholarship
    Promote and enhance access to local digital collections
    Coordinate digital library collaborations with key external partners (e.g. The Five Colleges of Ohio)"
34,1/27/2015,"Smith College Libraries seeks an innovative librarian with excellent teaching skills and a passion for exploring new forms of scholarship to join its department of Teaching, Learning & Research in the new position of Digital Scholarship Librarian.","MLIS or equivalent degree from an ALA-accredited program, or Master's degree in another discipline with significant work experience in an academic library. At least 2 years of experience relevant to the position, including: work with the emerging tools of digital scholarship; teaching, especially on the undergraduate level; and the provision of library reference and research assistance to patrons. Advanced degree or background in a discipline of the humanities or social sciences preferred. Skills: Ability to select, implement and evaluate digital scholarship tools and the ability to teach others to use these tools. Demonstrated familiarity with current issues of scholarly communication and the ability to convey these complex issues to a diverse audience. Demonstrated project management skills. Strong teaching skills; a commitment to public service; knowledge of current issues and methods of library instruction/information literacy; excellent oral and written communication skills; demonstrated ability to work flexibly, independently and collaboratively with colleagues and library users in a rapidly changing service-oriented environment.",,," The Digital Scholarship Librarian will incorporate support for digital scholarship into the library's program of services that support teaching, learning and research at the College. S/he will promote the adoption of new models of scholarship by introducing and teaching the methodologies and tools of the digital humanities and social sciences, working closely with colleagues, students, faculty and staff engaged in digital scholarship at Smith and across the Five College consortium (https://www.fivecolleges.edu/). S/he will provide instruction and consultation services for digital scholarship projects; serve on project teams; facilitate the use of library content for digital scholarship creation by faculty and students; serve as a resource for other librarians who are engaged in digital scholarship; and keep abreast of innovations in scholarly communication in the humanities and social sciences, promoting awareness among colleagues. As a member of the newly formed Teaching, Learning & Research department, the Digital Scholarship Librarian will participate in a nationally regarded information literacy program (http://www.smith.edu/libraries/services/faculty/infolit/) while helping the department re-envision its approach to information literacy in response to changes in teaching and learning, and in anticipation of a new library building program that will transform services. As a member of the department, the librarian will also conduct reference, outreach, library instruction/information literacy, collection development and liaison activities"
35,2/2/2015,,"* ALA-accredited Master's Degree in Library or Information Science OR an advanced degree in an appropriate subject discipline with relevant special collections or archival training. * Excellent written and oral communication skills. * Knowledge of national digital library standards for digitization and metadata creation across all standard formats (images, moving images, audio, video, text) and metadata domains (descriptive, technical, administrative). * Knowledge of and demonstrated experience working with library XML standards such as MODS, EAD, TEI. * Experience managing digital library or digital humanities projects in an academic setting. * Ability to effectively lead teams with participants with a range of technical abilities. * Ability to initiate and maintain cooperative working relationships with co-workers, supervisors, and managers. Ability to work harmoniously and as a team player, thrive in a team-based environment, and skill in fostering teamwork among others. * Ability to follow directions from supervisors (and to provide clear directions to staff and student employees). * Experience with one or more digital library management systems (e.g. ContentDM, Islandora, Hydra). * Ability to get to work reliably and on time and to be present in the workplace during normal working hours.",* Experience developing user interfaces for digital library content or digital humanities projects. * Experience with post-completion project review and evaluation.,,"The UCLA Library seeks an innovative and collaborative information professional to serve as Digital Scholarship Librarian within the Digital Library Program. This is a forward-looking, transformative role for an individual with a passion for range of cutting-edge activities within digital scholarship, including building new digital collections, developing services in support of research, teaching and learning, and managing digital projects and project teams, including collaborations with faculty and with partners nationally and internationally, and with Library staff responsible for metadata creation, data curation, collection development, and Web services development. The Librarian also leads the Program's outreach and social media presence, and participates with colleagues in ongoing collaboration with campus partners such as the Center for Digital Humanities, Institute for Digital Research and Education, Social Sciences Computing, and the Department of Information Studies."
36,2/19/2015,"Case Western Reserve University seeks an energetic, creative and collaborative professional for the position of Digital Learning & Scholarship Librarian (DLSL).",Required: Master's degree in a relevant discipline; demonstrated competency within the field of Digital Scholarship and Institutional Repositories.,,,"This position will be primarily responsible for all aspects of scholarly communication. These include: · Fedora / Hydra Repository · Digitization · Data Management The Digital Learning & Scholarship Librarian (DLSL) position is a non-supervisory position that reports to the Digital Learning & Scholarship Team Leader. The candidate is expected to work at a high level of performance, working independently and with initiative. The Librarian is responsible for managing a balanced portfolio of three key activities in support of the programs of the Digital Learning & Scholarship Librarian: (1) digital research and data management support, (2) relationship management, and (3) digital instruction. RESPONSIBILITIES. Monitor trends in digital library & Institutional Repositories (IR) areas within academia, providing the executive leadership team with the necessary information to ensure Case is prepared for potential changes by continually investigating and providing KSL leadership with expertise about emerging trends, risks, opportunities, and resources and recommending possible courses of action. Identify and actively recruit content for IR. Manage the digitization workflow for projects destined for the IR, including the coordination of efforts by other teams involved in the process, including the establishing of standards and deadlines for an efficient workflow. Provide instruction on use of the IR and data management processes associated with IR use."
37,2/19/2015,"Case Western Reserve University seeks an energetic, creative and collaborative professional for the position of Team Leader for Digital learning and Scholarship.",,,* Digital Scholarship; * Scholarly Communication & Copyright; * Institutional Repository; * Website / CMS; * New Media; * Software & Database Development; * Catalog (Innovative); * Computing Hardware & Software,"This position will be primarily responsible for all technology-related aspects of the Library's services and operations. This position is expected to guide the CWRU community on forward-thinking scholarly communication matters, and leading a dynamic program that engages faculty, students, and staff in initiatives to maximize the dissemination and impact of the university's scholarship and knowledge resources. The position serves as a resource on local and national digital policies and scholarly information practices. The Library seeks a person who is highly collaborative and a strong team leader. This position will partner with other areas within the creation and curation division to evaluate current processes and procedures, as well as teams in other library divisions. The team leader will work with the Associate Director for Creation and Curation Services to play a leadership role in library-wide policy making and in the development and evaluation of services. Professional contributions beyond the basic requirements of the job: publications, active participation in University and professional organizations, and other research activities are required for advancement within the Librarian broadband program. Candidates must show evidence of such contribution."
38,2/19/2015,"The Research Computing Center (RCC) is seeking a highly motivated Digital Humanities Computing Research Consultant to work closely with faculty and researchers. The person in this position will serve as a point person to work closely with faculty and researchers in the Humanities Division (HD). The Consultant will serve as a technical domain expert in supporting and advising faculty and postdoctoral fellows on research that involves computational analysis (text mining, network analysis, GIS), information visualization, and/or data intensive research. The successful candidate will join a team of consultants who are playing a key role in the creation of subject matter experts support group at the University of Chicago.","* Proficiency in one or more scripting languages (such as Python, Perl, Bash, etc.) * Must be able to understand and translate researchers' project goals into computational requirements. * Must be able to function as part of an interactive team while demonstrating self-initiative to achieve project's goals and research computing center's mission. * Must have strong analytical skills and problem solving ability. * Minimum of three years experience in a UNIX-based programming environment. * Excellent oral and written English communication and inter-personal skills. * Ability to work well with faculty and researchers",* Programming and development experience. * Proficiency in one or more programming languages. * Experience writing or contributing to grant proposals.,,"* Work closely with humanities faculty to identify, develop, and implement useful computational methods and resources that support or advance their research. * Assist in the implementation, development, and improvement of software and methods that can be utilized in analyzing and interpreting humanities data. This will include software and methods related to text mining, visualization, mapping, and other approaches currently being used in the field of digital humanities. * Assist with the compiling, debugging, optimizing, profiling and porting of codes on RCC compute and storage resources. * Design tutorials, hands-on workshops, and documentation for researchers and students in the Humanities Division with the help and coordination of other RCC staff. * Assist with HD faculty grant proposals by incorporating aspects related to computation, data analysis, and data management. * Organize seminars and meet-ups to expand and help bring together the emerging community of computational researchers in the Humanities. * Keep abreast of new developments in digital humanities and be pro-active in introducing them to the faculty. * Dedicate a portion of time on digital research projects or activities for professional development, as approved."
